,bs4,Jetz Master Taxonomy
3,Catreus_wallichii,Catreus_wallichi
4,Lagopus_mutus,Lagopus_muta
5,Lagopus_leucurus,Lagopus_leucura
6,Falcipennis_falcipennis,Dendragapus_falcipennis
7,Falcipennis_canadensis,Dendragapus_canadensis
8,Agriocharis_ocellata,Meleagris_ocellata
9,Oxyura_dominica,Nomonyx_dominicus
10,Cygnus_melanocorypha,Cygnus_melancoryphus
11,Anser_caerulescens,Chen_caerulescens
12,Anser_rossii,Chen_rossii
13,Anser_canagica,Chen_canagica
14,Cyanochen_cyanopterus,Cyanochen_cyanoptera
15,Alopochen_aegyptiacus,Alopochen_aegyptiaca
16,Anas_specularioides,Lophonetta_specularioides
17,Anas_specularis,Speculanas_specularis
18,Megalaima_rubricapilla,Megalaima_rubricapillus
19,Dendropicos_namaquus,Thripias_namaquus
20,Dendropicos_goertae,Mesopicos_goertae
21,Dendropicos_griseocephalus,Mesopicos_griseocephalus
22,Dendropicos_obsoletus,Dendrocopos_obsoletus
23,Piculus_rubiginosus,Colaptes_rubiginosus
24,Tockus_albocristatus,Tropicranus_albocristatus
25,Buceros_vigil,Rhinoplax_vigil
26,Ceratogymna_bucinator,Bycanistes_bucinator
27,Ceratogymna_brevis,Bycanistes_brevis
28,Ceratogymna_subcylindricus,Bycanistes_subcylindricus
31,Coracias_abyssinica,Coracias_abyssinicus
32,Coracias_caudata,Coracias_caudatus
33,Brachypteracias_squamigera,Brachypteracias_squamiger
35,Todirhamphus_macleayii,Todiramphus_macleayii
36,Todirhamphus_albonotatus,Todiramphus_albonotatus
37,Todirhamphus_pyrrhopygia,Todiramphus_pyrrhopygius
38,Todirhamphus_cinnamominus,Todiramphus_cinnamominus
39,Todirhamphus_chloris,Todiramphus_chloris
40,Todirhamphus_sanctus,Todiramphus_sanctus
41,Todirhamphus_tuta,Todiramphus_tutus
42,Ceyx_erithacus,Ceyx_erithaca
43,Ispidina_madagascariensis,Ceyx_madagascariensis
44,Ispidina_picta,Ceyx_pictus
45,Ispidina_lecontei,Ceyx_lecontei
47,Taccocua_leschenaultii,Phaenicophaeus_leschenaultii
48,Zanclostomus_javanicus,Phaenicophaeus_javanicus
54,Strigops_habroptilus,Strigops_habroptila
55,Psittacula_echo,Psittacula_eques
56,Ara_ambigua,Ara_ambiguus
57,Ara_severa,Ara_severus
58,Ara_manilata,Orthopsittaca_manilata
59,Aratinga_guarouba,Guaruba_guarouba
60,Bolborhynchus_aymara,Psilopsiagon_aymara
61,Bolborhynchus_aurifrons,Psilopsiagon_aurifrons
62,Forpus_crassirostris,Forpus_xanthopterygius
63,Forpus_sclateri,Forpus_modestus
64,Brotogeris_pyrrhopterus,Brotogeris_pyrrhoptera
65,Brotogeris_chrysopterus,Brotogeris_chrysoptera
66,Touit_batavica,Touit_batavicus
67,Cypseloides_rutilus,Streptoprocne_rutila
68,Collocalia_spodiopygius,Collocalia_spodiopygia
69,Collocalia_leucophaeus,Collocalia_leucophaea
71,Glaucis_aenea,Glaucis_aeneus
72,Glaucis_hirsuta,Glaucis_hirsutus
73,Phaethornis_gounellei,Anopetia_gounellei
74,Ramphodon_dohrnii,Glaucis_dohrnii
75,Melanotrochilus_fuscus,Florisuga_fusca
76,Popelairia_langsdorffi,Discosura_langsdorffi
77,Discosura_longicauda,Discosura_longicaudus
78,Chlorestes_notatus,Chlorestes_notata
79,Chlorostilbon_aureoventris,Chlorostilbon_lucidus
80,Chlorostilbon_stenura,Chlorostilbon_stenurus
83,Eriocnemis_vestitus,Eriocnemis_vestita
84,Augastes_lumachellus,Augastes_lumachella
85,Augastes_geoffroyi,Schistes_geoffroyi
86,Heliothryx_aurita,Heliothryx_auritus
87,Heliactin_cornuta,Heliactin_bilophus
88,Philodice_bryantae,Calliphlox_bryantae
89,Philodice_mitchellii,Calliphlox_mitchellii
90,Tauraco_schuettii,Tauraco_schuetti
91,Gallirex_porphyreolopha,Tauraco_porphyreolophus
94,Otus_kennicottii,Megascops_kennicottii
95,Otus_asio,Megascops_asio
96,Otus_trichopsis,Megascops_trichopsis
97,Otus_choliba,Megascops_choliba
98,Otus_atricapillus,Megascops_atricapilla
99,Otus_sanctaecatarinae,Megascops_sanctaecatarinae
100,Otus_lawrencii,Gymnoglaux_lawrencii
101,Otus_nudipes,Megascops_nudipes
102,Nyctea_scandiaca,Bubo_scandiaca
103,Speotyto_cunicularia,Athene_cunicularia
104,Asio_clamator,Pseudoscops_clamator
105,Heterotetrax_rueppellii,Eupodotis_rueppellii
106,Heterotetrax_vigorsii,Eupodotis_vigorsii
107,Lissotis_melanogaster,Eupodotis_melanogaster
108,Lissotis_hartlaubii,Eupodotis_hartlaubii
109,Lophotis_savilei,Eupodotis_savilei
110,Lophotis_gindiana,Eupodotis_gindiana
111,Lophotis_ruficrista,Eupodotis_ruficrista
112,Sypheotides_indica,Sypheotides_indicus
113,Afrotis_afraoides,Eupodotis_afraoides
114,Afrotis_afra,Eupodotis_afra
115,Amaurornis_moluccanus,Amaurornis_moluccana
117,Porphyrio_martinicus,Porphyrio_martinica
118,Columba_leucocephala,Patagioenas_leucocephala
119,Columba_speciosa,Patagioenas_speciosa
120,Columba_corensis,Patagioenas_corensis
121,Columba_picazuro,Patagioenas_picazuro
122,Columba_maculosa,Patagioenas_maculosa
123,Columba_fasciata,Patagioenas_fasciata
124,Columba_araucana,Patagioenas_araucana
125,Columba_cayennensis,Patagioenas_cayennensis
126,Columba_inornata,Patagioenas_inornata
127,Columba_subvinacea,Patagioenas_subvinacea
128,Columba_picturata,Nesoenas_picturata
129,Columba_larvata,Aplopelia_larvata
130,Columba_mayeri,Nesoenas_mayeri
131,Streptopelia_senegalensis,Stigmatopelia_senegalensis
132,Streptopelia_chinensis,Stigmatopelia_chinensis
133,Geophaps_lophotes,Ocyphaps_lophotes
134,Treron_bicincta,Treron_bicinctus
135,Treron_phoenicoptera,Treron_phoenicopterus
136,Treron_calva,Treron_calvus
137,Treron_sphenura,Treron_sphenurus
139,Ptilinopus_nanus,Ptilinopus_naina
140,Ptilinopus_melanospila,Ptilinopus_melanospilus
141,Micropalama_himantopus,Calidris_himantopus
142,Tringa_brevipes,Heteroscelus_brevipes
143,Tringa_incana,Heteroscelus_incanus
144,Phalaropus_fulicaria,Phalaropus_fulicarius
145,Tringa_hypoleucos,Actitis_hypoleucos
146,Tringa_macularia,Actitis_macularius
147,Tringa_cinerea,Xenus_cinereus
148,Larus_scoresbii,Leucophaeus_scoresbii
149,Sternula_albifrons,Sterna_albifrons
150,Sternula_saundersi,Sterna_saundersi
151,Sternula_antillarum,Sterna_antillarum
152,Sternula_superciliaris,Sterna_superciliaris
153,Sternula_lorata,Sterna_lorata
154,Sternula_nereis,Sterna_nereis
155,Sternula_balaenarum,Sterna_balaenarum
156,Onychoprion_aleutica,Sterna_aleutica
157,Onychoprion_lunata,Sterna_lunata
158,Onychoprion_anaethetus,Sterna_anaethetus
159,Onychoprion_fuscata,Sterna_fuscata
160,Geochelidon_nilotica,Sterna_nilotica
161,Hydroprogne_caspia,Sterna_caspia
162,Chlidonias_albostriatus,Sterna_albostriata
163,Chlidonias_hybridus,Chlidonias_hybrida
164,Thalasseus_elegans,Sterna_elegans
165,Thalasseus_bengalensis,Sterna_bengalensis
166,Thalasseus_bergii,Sterna_bergii
167,Thalasseus_sandvicensis,Sterna_sandvicensis
168,Cyclorrhynchus_psittacula,Aethia_psittacula
169,Turnix_sylvatica,Turnix_sylvaticus
170,Turnix_maculosa,Turnix_maculosus
171,Turnix_hottentotta,Turnix_hottentottus
172,Turnix_ocellata,Turnix_ocellatus
173,Turnix_castanota,Turnix_castanotus
174,Turnix_varia,Turnix_varius
175,Charadrius_rubricollis,Thinornis_rubricollis
177,Burhinus_recurvirostris,Esacus_recurvirostris
178,Burhinus_giganteus,Esacus_giganteus
179,Chionis_alba,Chionis_albus
180,Rostrhamus_hamatus,Helicolestes_hamatus
181,Torgos_tracheliotus,Torgos_tracheliotos
182,Micronisus_gabar,Melierax_gabar
183,Accipiter_francesii,Accipiter_francesiae
184,Asturina_nitida,Buteo_nitidus
186,Hieraaetus_fasciatus,Aquila_fasciatus
187,Hieraaetus_kienerii,Lophotriorchis_kienerii
188,Spizaetus_cirrhatus,Nisaetus_cirrhatus
189,Spizaetus_nipalensis,Nisaetus_nipalensis
190,Spizaetus_bartelsi,Nisaetus_bartelsi
196,Ardea_intermedia,Mesophoyx_intermedia
198,Butorides_striatus,Butorides_striata
199,Egretta_picata,Ardea_picata
200,Nycticorax_leuconotus,Gorsachius_leuconotus
201,Dupetor_flavicollis,Ixobrychus_flavicollis
202,Cochlearius_cochlearia,Cochlearius_cochlearius
203,Phoenicopterus_minor,Phoeniconaias_minor
204,Phoenicopterus_andinus,Phoenicoparrus_andinus
205,Phoenicopterus_jamesi,Phoenicoparrus_jamesi
206,Ajaia_ajaja,Platalea_ajaja
207,Pygoscelis_antarctica,Pygoscelis_antarcticus
208,Pterodroma_brevirostris,Lugensa_brevirostris
209,Pterodroma_rostrata,Pseudobulweria_rostrata
210,Diomedea_irrorata,Phoebastria_irrorata
211,Diomedea_albatrus,Phoebastria_albatrus
212,Diomedea_nigripes,Phoebastria_nigripes
213,Diomedea_immutabilis,Phoebastria_immutabilis
214,Diomedea_melanophris,Thalassarche_melanophrys
215,Diomedea_cauta,Thalassarche_cauta
216,Diomedea_chrysostoma,Thalassarche_chrysostoma
217,Diomedea_chlororhynchos,Thalassarche_chlororhynchos
218,Diomedea_bulleri,Thalassarche_bulleri
219,Oceanodroma_microsoma,Halocyptena_microsoma
220,Myrmotherula_fulviventris,Epinecrophylla_fulviventris
221,Gymnopithys_lunulata,Gymnopithys_lunulatus
222,Hylophylax_naevia,Hylophylax_naevius
223,Hylophylax_poecilonota,Willisornis_poecilinotus
224,Schoeniophylax_phryganophila,Schoeniophylax_phryganophilus
225,Certhiaxis_cinnamomea,Certhiaxis_cinnamomeus
226,Limnornis_rectirostris,Limnoctites_rectirostris
227,Eremobius_phoenicurus,Ochetorhynchus_phoenicurus
228,Procnias_tricarunculata,Procnias_tricarunculatus
229,Procnias_alba,Procnias_albus
230,Rupicola_peruviana,Rupicola_peruvianus
231,Pipra_coronata,Lepidothrix_coronata
232,Pipra_suavissima,Lepidothrix_suavissima
233,Pipra_serena,Lepidothrix_serena
234,Pipra_iris,Lepidothrix_iris
235,Pipra_isidorei,Lepidothrix_isidorei
236,Pipra_coeruleocapilla,Lepidothrix_coeruleocapilla
237,Todirostrum_sylvia,Poecilotriccus_sylvia
238,Corythopis_torquata,Corythopis_torquatus
239,Ornithion_brunneicapillum,Ornithion_brunneicapillus
240,Myiobius_erythrurus,Terenotriccus_erythrurus
241,Pyrrhomyias_cinnamomea,Pyrrhomyias_cinnamomeus
242,Xolmis_cinerea,Xolmis_cinereus
243,Xolmis_coronata,Xolmis_coronatus
244,Heteroxolmis_dominicana,Xolmis_dominicanus
245,Agriornis_montana,Agriornis_montanus
246,Agriornis_livida,Agriornis_lividus
247,Muscisaxicola_macloviana,Muscisaxicola_maclovianus
248,Griseotyrannus_aurantioatrocristatus,Empidonomus_aurantioatrocristatus
249,Philohydor_lictor,Pitangus_lictor
250,Phelpsia_inornata,Phelpsia_inornatus
251,Cormobates_leucophaeus,Cormobates_leucophaea
252,Climacteris_melanura,Climacteris_melanurus
253,Climacteris_rufa,Climacteris_rufus
254,Amblyornis_inornatus,Amblyornis_inornata
255,Amytornis_kalkadoon,Amytornis_ballarae
256,Phylidonyris_pyrrhoptera,Phylidonyris_pyrrhopterus
257,Phylidonyris_nigra,Phylidonyris_niger
258,Foulehaio_carunculata,Foulehaio_carunculatus
260,Sericornis_magnirostris,Sericornis_magnirostra
261,Acanthornis_magnus,Acanthornis_magna
262,Hylacola_cautus,Hylacola_cauta
263,Callaeas_cinerea,Callaeas_cinereus
264,Vireo_atricapillus,Vireo_atricapilla
266,Pteropodocys_maxima,Coracina_maxima
267,Bias_flammulatus,Megabyas_flammulatus
268,Tchagra_senegala,Tchagra_senegalus
269,Rhipidura_hypoxantha,Chelidorhynx_hypoxantha
270,Rhipidura_spilodera,Rhipidura_verreauxi
271,Manucodia_atra,Manucodia_ater
272,Manucodia_chalybata,Manucodia_chalybatus
273,Seleucidis_melanoleuca,Seleucidis_melanoleucus
274,Monarcha_guttulus,Monarcha_guttula
275,Corvinella_melanoleuca,Urolestes_melanoleucus
276,Psilorhinus_morio,Cyanocorax_morio
277,Cyanopica_cyana,Cyanopica_cyanus
279,Cinclosoma_castanotus,Cinclosoma_castanotum
280,Cyanistes_caeruleus,Parus_caeruleus
281,Cyanistes_cyanus,Parus_cyanus
284,Periparus_rufonuchalis,Parus_rufonuchalis
285,Periparus_rubidiventris,Parus_rubidiventris
287,Periparus_ater,Parus_ater
288,Lophophanes_cristatus,Parus_cristatus
289,Lophophanes_dichrous,Parus_dichrous
290,Poecile_varius,Parus_varius
291,Poecile_palustris,Parus_palustris
292,Poecile_lugubris,Parus_lugubris
293,Poecile_montanus,Parus_montanus
294,Poecile_carolinensis,Parus_carolinensis
295,Poecile_atricapillus,Parus_atricapillus
296,Poecile_gambeli,Parus_gambeli
297,Poecile_superciliosus,Parus_superciliosus
298,Poecile_cinctus,Parus_cinctus
299,Poecile_hudsonicus,Parus_hudsonicus
300,Poecile_rufescens,Parus_rufescens
302,Trochocercus_nigromitratus,Elminia_nigromitrata
303,Trochocercus_albiventris,Elminia_albiventris
304,Trochocercus_albonotatus,Elminia_albonotata
305,Eremopterix_grisea,Eremopterix_griseus
306,Ammomanes_cincturus,Ammomanes_cinctura
307,Ammomanes_phoenicurus,Ammomanes_phoenicura
308,Ramphocoris_clotbey,Rhamphocoris_clotbey
309,Cheramoeca_leucosternus,Cheramoeca_leucosterna
310,Ptyonoprogne_rupestris,Hirundo_rupestris
311,Ptyonoprogne_fuligula,Hirundo_fuligula
312,Ptyonoprogne_concolor,Hirundo_concolor
313,Cecropis_cucullata,Hirundo_cucullata
314,Cecropis_abyssinica,Hirundo_abyssinica
315,Cecropis_semirufa,Hirundo_semirufa
316,Cecropis_senegalensis,Hirundo_senegalensis
317,Cecropis_daurica,Hirundo_daurica
318,Cecropis_striolata,Hirundo_striolata
319,Petrochelidon_preussi,Hirundo_preussi
320,Petrochelidon_rufigula,Hirundo_rufigula
321,Petrochelidon_spilodera,Hirundo_spilodera
322,Petrochelidon_nigricans,Hirundo_nigricans
323,Petrochelidon_fluvicola,Hirundo_fluvicola
324,Petrochelidon_ariel,Hirundo_ariel
325,Petrochelidon_fuliginosa,Hirundo_fuliginosa
326,Delichon_urbica,Delichon_urbicum
327,Delichon_nipalensis,Delichon_nipalense
328,Notiochelidon_cyanoleuca,Pygochelidon_cyanoleuca
329,Stelgidopteryx_fucata,Alopochelidon_fucata
330,Bleda_syndactyla,Bleda_syndactylus
331,Bleda_eximia,Bleda_eximius
332,Acritillas_indica,Iole_indica
333,Microscelis_amaurotis,Ixos_amaurotis
334,Cisticola_chinianus,Cisticola_chiniana
335,Cisticola_subruficapillus,Cisticola_subruficapilla
336,Cisticola_fulvicapillus,Cisticola_fulvicapilla
337,Prinia_criniger,Prinia_crinigera
339,Apalis_pulchra,Oreolais_pulchra
340,Apalis_ruwenzorii,Oreolais_ruwenzorii
341,Apalis_rufifrons,Spiloptila_rufifrons
342,Calamonastes_simplex,Camaroptera_simplex
344,Calamonastes_fasciolatus,Camaroptera_fasciolata
345,Sylvia_subcaeruleum,Sylvia_subcaerulea
346,Yuhina_speciosa,Dasycrotapha_speciosa
347,Zosterops_poliogaster,Zosterops_poliogastrus
348,Zosterops_xanthochrous,Zosterops_xanthochroa
349,Pellorneum_tickelli,Trichastoma_tickelli
350,Pellorneum_fuscocapillum,Pellorneum_fuscocapillus
351,Illadopsis_abyssinica,Pseudoalcippe_abyssinica
352,Garrulax_cachinnans,Strophocincla_cachinnans
354,Turdoides_caudatus,Turdoides_caudata
355,Turdoides_fulvus,Turdoides_fulva
356,Turdoides_rubiginosus,Turdoides_rubiginosa
357,Turdoides_striatus,Turdoides_striata
358,Turdoides_reinwardtii,Turdoides_reinwardii
359,Turdoides_tenebrosus,Turdoides_tenebrosa
360,Turdoides_squamulatus,Turdoides_squamulata
361,Turdoides_leucopygius,Turdoides_leucopygia
362,Turdoides_hypoleucus,Turdoides_hypoleuca
363,Turdoides_leucocephalus,Turdoides_leucocephala
364,Xanthomixis_zosterops,Bernieria_zosterops
365,Xanthomixis_cinereiceps,Bernieria_cinereiceps
366,Megalurus_pryeri,Locustella_pryeri
367,Megalurus_punctatus,Bowdleria_punctata
368,Schoenicola_platyura,Schoenicola_platyurus
369,Phylloscopus_ruficapillus,Phylloscopus_ruficapilla
371,Seicercus_xanthoschistos,Phylloscopus_xanthoschistos
372,Donacobius_atricapillus,Donacobius_atricapilla
374,Regulus_ignicapillus,Regulus_ignicapilla
375,Aplonis_brunneicapilla,Aplonis_brunneicapillus
376,Lamprotornis_purpuropterus,Lamprotornis_purpuroptera
377,Nesomimus_parvulus,Mimus_parvulus
378,Nesomimus_trifasciatus,Mimus_trifasciatus
379,Nesomimus_macdonaldi,Mimus_macdonaldi
380,Nesomimus_melanotis,Mimus_melanotis
381,Mimodes_graysoni,Mimus_graysoni
382,Eumyias_thalassina,Eumyias_thalassinus
383,Luscinia_akahige,Erithacus_akahige
384,Luscinia_komadori,Erithacus_komadori
385,Saxicoloides_fulicata,Saxicoloides_fulicatus
386,Phoenicurus_erythronota,Phoenicurus_erythronotus
387,Phoenicurus_caeruleocephalus,Phoenicurus_caeruleocephala
388,Phoenicurus_erythrogaster,Phoenicurus_erythrogastrus
389,Rhyacornis_fuliginosus,Rhyacornis_fuliginosa
390,Myiomela_leucurum,Cinclidium_leucurum
391,Saxicola_torquata,Saxicola_torquatus
392,Saxicola_leucura,Saxicola_leucurus
393,Saxicola_ferrea,Saxicola_ferreus
395,Oenanthe_alboniger,Oenanthe_albonigra
398,Pinarochroa_sordida,Cercomela_sordida
399,Myrmecocichla_arnotti,Myrmecocichla_arnoti
400,Thamnolaea_cinnamomeiventris,Myrmecocichla_cinnamomeiventris
402,Ixoreus_naevius,Zoothera_naevia
403,Hylocichla_mustelinus,Hylocichla_mustelina
404,Psophocichla_litsipsirupa,Psophocichla_litsitsirupa
405,Anthreptes_rhodolaema,Anthreptes_rhodolaemus
406,Nectarinia_neergaardi,Nectarinia_neergardi
407,Euplectes_macrourus,Euplectes_macroura
408,Nigrita_canicapilla,Nigrita_canicapillus
409,Uraeginthus_granatina,Uraeginthus_granatinus
410,Chloebia_gouldiae,Erythrura_gouldiae
411,Lemuresthes_nana,Lonchura_nana
412,Carpospiza_brachydactyla,Petronia_brachydactyla
413,Serinus_citrinella,Carduelis_citrinella
414,Rhodopechys_sanguinea,Rhodopechys_sanguineus
415,Rhodopechys_githaginea,Bucanetes_githagineus
417,Rhodopechys_obsoleta,Rhodopechys_obsoletus
418,Carpodacus_rodochrous,Carpodacus_rodochroa
419,Hesperiphona_vespertina,Coccothraustes_vespertinus
420,Hesperiphona_abeillei,Coccothraustes_abeillei
422,Viridonia_parva,Hemignathus_parvus
423,Hemimacronyx_sharpei,Macronyx_sharpei
424,Hemimacronyx_chloris,Anthus_chloris
428,Melozone_biarcuatum,Melozone_biarcuata
429,Atlapetes_brunneinucha,Arremon_brunneinucha
431,Atlapetes_torquatus,Arremon_torquatus
432,Tiaris_canora,Tiaris_canorus
433,Tiaris_olivacea,Tiaris_olivaceus
434,Camarhynchus_crassirostris,Platyspiza_crassirostris
435,Pitylus_grossus,Saltator_grossus
436,Guiraca_caerulea,Passerina_caerulea
437,Helmitheros_vermivorus,Helmitheros_vermivorum
438,Seiurus_aurocapillus,Seiurus_aurocapilla
439,Basileuterus_rivularis,Phaeothlypis_rivularis
442,Agelaoides_badius,Agelaioides_badius
443,Eudynamys_scolopacea,Eudynamys_scolopaceus
444,Urodynamis_taitensis,Eudynamys_taitensis
445,Cacomantis_pallidus,Cuculus_pallidus
446,Hierococcyx_vagans,Cuculus_vagans
447,Hierococcyx_sparverioides,Cuculus_sparverioides
448,Hierococcyx_varius,Cuculus_varius
449,Hierococcyx_fugax,Cuculus_fugax
450,Molothrus_oryzivora,Molothrus_oryzivorus
